donor_id,first_name,last_name,email,phone,address,city,state,zip_code,donor_type,join_date,membership_level
D0058,Steven,Thomas,steven.thomas666@email.com,270-555-1659,608 Valley Way,City,MT,12671,Individual,2023-06-17,Team Elk
D0059,Nancy,Campbell,nancy.campbell118@email.com,777-555-4571,4298 Pine Ave,City,OR,31992,Individual,2020-03-19,Supporting
D0060,Justin,Davis,justin.davis797@email.com,367-555-6096,9581 Elk St,City,OR,85470,Individual,2016-03-18,Life
D0061,Joshua,Roberts,joshua.roberts204@email.com,277-555-4978,5041 Aspen Dr,City,WA,84177,Individual,2016-02-22,Heritage
D0062,Kevin,Campbell,kevin.campbell380@email.com,270-555-9289,5690 Elk Ct,City,NM,74251,Individual,2022-04-06,Supporting
D0063,Daniel,King,daniel.king725@email.com,356-555-8135,8648 River St,City,MT,90728,Individual,2016-12-22,Life
D0064,Nancy,King,nancy.king447@email.com,948-555-5397,4122 Aspen Dr,City,AZ,46559,Individual,2018-08-13,Team Elk
D0065,George,Green,george.green625@email.com,884-555-7209,570 Peak Ave,City,UT,33834,Individual,2018-10-09,Supporting
D0066,Susan,White,susan.white287@email.com,810-555-5526,266 Meadow Way,City,CO,21221,Individual,2021-03-26,Supporting
D0067,Ashley,Taylor,ashley.taylor708@email.com,687-555-9041,382 Mountain St,City,WY,39045,Individual,2020-01-10,Supporting
D0068,Anthony,Adams,anthony.adams378@email.com,684-555-9698,7071 Lake Ave,City,ID,56112,Individual,2018-11-09,Supporting
D0069,Susan,Thomas,susan.thomas124@email.com,938-555-4155,2058 Lake Ln,City,WA,35105,Individual,2018-07-16,Supporting
D0070,Brandon,Adams,brandon.adams779@email.com,737-555-5636,3280 Creek Way,City,WY,57301,Individual,2016-02-16,Team Elk
D0071,Sandra,Rodriguez,sandra.rodriguez281@email.com,246-555-1893,4886 Lake Ln,City,MT,93606,Individual,2021-03-16,Supporting
D0072,James,Green,james.green292@email.com,680-555-8843,5682 Ridge Rd,City,UT,43092,Individual,2019-12-10,Team Elk
D0073,Nicole,Jones,nicole.jones411@email.com,703-555-2213,978 Ridge Ln,City,CA,83772,Individual,2021-06-21,Team Elk
D0074,Barbara,Davis,barbara.davis572@email.com,982-555-7818,9866 Pine Way,City,CA,78494,Individual,2021-10-19,Supporting
D0075,Karen,Adams,karen.adams440@email.com,512-555-1986,1725 Pine Way,City,ID,91987,Individual,2021-11-02,Heritage
D0076,Mary,Taylor,mary.taylor178@email.com,765-555-2229,143 Canyon Trl,City,WY,87832,Individual,2016-10-03,Team Elk
D0077,Sarah,Roberts,sarah.roberts290@email.com,919-555-8438,3924 Creek Way,City,CO,65723,Individual,2015-10-19,Supporting
D0078,Christopher,Jackson,christopher.jackson847@email.com,345-555-2169,2818 Pine St,City,MT,87993,Individual,2015-09-02,Supporting
D0079,Sarah,Allen,sarah.allen128@email.com,679-555-5982,6694 Creek Trl,City,NM,67377,Individual,2022-11-06,Team Elk
D0080,Kevin,Thompson,kevin.thompson619@email.com,456-555-1423,3850 River Rd,City,MT,98117,Individual,2016-01-10,Supporting
D0081,Aaron,Lopez,aaron.lopez482@email.com,731-555-8245,3073 Forest Ct,City,AZ,93202,Individual,2018-02-13,Team Elk
D0082,Nancy,Harris,nancy.harris419@email.com,541-555-6260,1813 Aspen Ln,City,AZ,53228,Individual,2022-07-07,Life
D0083,Anthony,Robinson,anthony.robinson834@email.com,978-555-1601,1542 Trail St,City,ID,52372,Individual,2020-02-06,Team Elk
D0084,Betty,Smith,betty.smith674@email.com,755-555-8569,988 Valley Ave,City,MT,91609,Individual,2019-08-20,Sportsman
D0085,Aaron,Brown,aaron.brown209@email.com,473-555-9998,4819 Peak Trl,City,NM,25915,Individual,2016-06-20,Team Elk
D0086,Stephanie,Taylor,stephanie.taylor727@email.com,362-555-6091,324 Meadow Ct,City,MT,22217,Individual,2021-03-06,Team Elk
D0087,Joseph,King,joseph.king970@email.com,320-555-3522,4881 Meadow St,City,WY,64459,Individual,2020-08-03,Sportsman
D0088,Barbara,King,barbara.king565@email.com,348-555-7284,9920 Meadow Ln,City,AZ,19150,Individual,2017-02-19,Life
D0089,Kenneth,White,kenneth.white957@email.com,719-555-5377,142 Creek St,City,WY,86931,Individual,2024-03-14,Sportsman
D0090,Christopher,Allen,christopher.allen552@email.com,695-555-6654,9142 Pine Ct,City,OR,69682,Individual,2018-09-23,Team Elk
D0091,Jason,Taylor,jason.taylor586@email.com,592-555-4826,6830 Elk Ave,City,CA,71993,Individual,2024-08-07,Sportsman
D0092,Andrew,Campbell,andrew.campbell812@email.com,867-555-3492,706 Ridge Ave,City,WA,23154,Individual,2020-07-21,Sportsman
D0093,Margaret,King,margaret.king16@email.com,939-555-3361,2629 Mountain Trl,City,UT,44737,Individual,2019-08-07,Supporting
D0094,Matthew,Garcia,matthew.garcia873@email.com,536-555-9742,5288 River Trl,City,ID,80912,Individual,2019-04-06,Team Elk
D0095,Daniel,Mitchell,daniel.mitchell944@email.com,494-555-4727,1580 Canyon Dr,City,MT,93066,Individual,2023-05-17,Supporting
D0096,Mary,Carter,mary.carter307@email.com,229-555-1753,1019 Creek Ave,City,WA,59131,Individual,2018-08-21,Supporting
D0097,Kenneth,Green,kenneth.green699@email.com,384-555-3785,1393 Forest Ct,City,CO,91226,Individual,2016-12-18,Supporting
D0098,Emily,Martinez,emily.martinez238@email.com,672-555-5161,4283 River Rd,City,WA,70981,Individual,2020-02-26,Team Elk
D0099,Mary,Jones,mary.jones453@email.com,553-555-5901,7051 Lake St,City,NV,69878,Individual,2022-03-02,Team Elk
D0100,Andrew,Wright,andrew.wright110@email.com,442-555-7248,5981 Forest St,City,UT,48696,Individual,2021-05-31,Supporting
D0101,Joshua,Jackson,joshua.jackson9@email.com,779-555-1803,8238 Aspen St,City,MT,40162,Individual,2021-10-19,Sportsman
D0102,Daniel,Wilson,daniel.wilson636@email.com,456-555-3240,1691 River Rd,City,OR,50492,Individual,2022-01-17,Supporting
D0103,Paul,Rodriguez,paul.rodriguez93@email.com,502-555-6352,6907 Ridge Way,City,NM,27322,Individual,2023-05-20,Supporting
D0104,Paul,Nguyen,paul.nguyen514@email.com,479-555-3695,7994 Pine St,City,NM,54396,Individual,2017-11-18,Sportsman
D0105,William,Martinez,william.martinez773@email.com,431-555-7511,9231 Trail Dr,City,AZ,61717,Individual,2024-06-26,Team Elk
D0106,George,Clark,george.clark689@email.com,966-555-5295,6342 Aspen Ave,City,MT,24201,Individual,2021-07-22,Team Elk
D0107,Michelle,Flores,michelle.flores336@email.com,824-555-4626,1135 River Trl,City,WA,49608,Individual,2022-04-06,Team Elk
D0108,Robert,Williams,robert.williams312@email.com,704-555-2902,3946 Meadow Ln,City,OR,60940,Individual,2016-02-03,Supporting
D0109,Tyler,Carter,tyler.carter969@email.com,753-555-7866,2631 Canyon Dr,City,CO,74139,Individual,2021-08-02,Team Elk
D0110,Jessica,Williams,jessica.williams707@email.com,579-555-4559,7385 Valley Ave,City,OR,23022,Individual,2019-12-22,Heritage
D0111,Matthew,Harris,matthew.harris63@email.com,607-555-5520,2101 Aspen Trl,City,TX,22015,Individual,2017-02-16,Supporting
D0112,Donna,Johnson,donna.johnson52@email.com,541-555-4990,9350 Valley Dr,City,WA,82641,Individual,2016-05-30,Team Elk
D0113,Elizabeth,White,elizabeth.white793@email.com,351-555-1046,2470 Ridge St,City,WY,32871,Individual,2018-02-09,Supporting
D0114,Thomas,Smith,thomas.smith367@email.com,443-555-6304,2954 Creek Rd,City,MT,26614,Individual,2015-03-06,Sportsman
D0115,Tyler,Jones,tyler.jones488@email.com,659-555-6931,9826 Mountain Trl,City,NM,76039,Individual,2020-10-03,Team Elk
D0116,Brandon,Campbell,brandon.campbell534@email.com,508-555-8504,610 Elk Trl,City,WY,62640,Individual,2022-03-20,Team Elk
D0117,Justin,Allen,justin.allen76@email.com,282-555-6277,2530 Mountain Ln,City,CO,46046,Individual,2021-10-27,Supporting
D0118,Justin,Thompson,justin.thompson391@email.com,811-555-9692,7533 Meadow Ct,City,OR,22999,Individual,2018-04-22,Team Elk
D0119,Matthew,Rivera,matthew.rivera899@email.com,987-555-4522,7498 Valley Ct,City,AZ,54424,Individual,2019-10-28,Supporting
D0120,Brandon,Miller,brandon.miller321@email.com,637-555-6120,4276 Trail Ln,City,AZ,72163,Individual,2022-06-17,Supporting
D0121,David,Young,david.young99@email.com,962-555-7105,2231 Meadow Rd,City,MT,86869,Individual,2024-02-08,Sportsman
D0122,Anthony,Davis,anthony.davis421@email.com,562-555-7929,942 Creek St,City,CA,56090,Individual,2024-09-25,Team Elk
D0123,Christopher,Campbell,christopher.campbell494@email.com,429-555-2773,9213 Trail Dr,City,MT,46512,Individual,2018-12-05,Team Elk
D0124,Megan,Flores,megan.flores998@email.com,985-555-1430,4481 Elk Ln,City,OR,45818,Individual,2021-10-30,Sportsman
D0125,Donald,Harris,donald.harris7@email.com,385-555-3347,6666 Mountain Ln,City,WA,92991,Individual,2021-05-08,Supporting
D0126,Margaret,Anderson,margaret.anderson386@email.com,629-555-8432,2678 Trail St,City,TX,52517,Individual,2018-10-28,Supporting
D0127,David,Brown,david.brown160@email.com,361-555-1815,1436 Creek Trl,City,NM,96761,Individual,2022-07-23,Team Elk
D0128,Kenneth,Jackson,kenneth.jackson221@email.com,973-555-9394,5755 Canyon Dr,City,CO,47125,Individual,2016-04-11,Team Elk
D0129,Margaret,Campbell,margaret.campbell316@email.com,246-555-4612,9919 Elk Rd,City,WA,36794,Individual,2019-06-07,Team Elk
D0130,Thomas,Moore,thomas.moore297@email.com,535-555-2965,8249 Lake Ct,City,ID,33028,Individual,2015-02-01,Supporting
D0131,Elizabeth,Torres,elizabeth.torres573@email.com,884-555-6802,6605 Aspen Rd,City,MT,67176,Individual,2015-10-23,Team Elk
D0132,Mark,Green,mark.green440@email.com,787-555-7626,6943 Creek Dr,City,MT,63088,Individual,2022-12-16,Heritage
D0133,Stephanie,Baker,stephanie.baker472@email.com,906-555-6928,7255 Aspen Dr,City,MT,41891,Individual,2015-12-27,Supporting
D0134,David,Robinson,david.robinson892@email.com,517-555-6562,5556 Pine Ln,City,CO,20011,Individual,2017-06-26,Supporting
D0135,Betty,Wilson,betty.wilson928@email.com,994-555-6724,2519 Valley Dr,City,CO,29194,Individual,2018-12-09,Supporting
D0136,Christopher,Rivera,christopher.rivera78@email.com,381-555-9095,9336 Pine Trl,City,WY,99277,Individual,2020-03-15,Supporting
D0137,Daniel,Baker,daniel.baker331@email.com,842-555-6179,7305 Mountain Trl,City,NV,67961,Individual,2016-09-10,Team Elk
D0138,Emily,Brown,emily.brown361@email.com,719-555-2215,7665 Peak Rd,City,OR,17456,Individual,2018-06-25,Sportsman
D0139,Matthew,Garcia,matthew.garcia630@email.com,808-555-9307,7681 Forest Rd,City,ID,68947,Individual,2019-04-24,Supporting
D0140,Jennifer,Thompson,jennifer.thompson620@email.com,687-555-9214,1113 Peak Dr,City,NV,55015,Individual,2016-09-09,Team Elk
D0141,Matthew,Lopez,matthew.lopez41@email.com,453-555-8172,8686 Meadow Ln,City,TX,57696,Individual,2019-12-05,Supporting
D0142,Kenneth,White,kenneth.white696@email.com,812-555-1857,5582 Mountain Ave,City,ID,22387,Individual,2023-11-07,Supporting
D0143,Susan,Campbell,susan.campbell988@email.com,817-555-3463,1435 Forest Ln,City,CO,55851,Individual,2018-09-27,Supporting
D0144,Anthony,Robinson,anthony.robinson133@email.com,809-555-2388,9257 Canyon Ave,City,ID,26750,Individual,2018-06-22,Team Elk
D0145,Tyler,Mitchell,tyler.mitchell935@email.com,739-555-2531,7037 Meadow Ave,City,WA,12389,Individual,2022-03-31,Sportsman
D0146,Linda,White,linda.white971@email.com,984-555-8967,3811 Ridge Ln,City,ID,20114,Individual,2017-02-25,Supporting
D0147,Betty,Hill,betty.hill856@email.com,956-555-9626,5617 Pine Ln,City,WY,88282,Individual,2015-06-04,Sportsman
D0148,Rachel,Carter,rachel.carter790@email.com,839-555-3712,7270 Elk Ct,City,ID,57749,Individual,2023-02-01,Supporting
D0149,Brian,Baker,brian.baker292@email.com,970-555-8355,8849 Valley St,City,WA,71474,Individual,2017-08-16,Supporting
D0150,Ryan,Green,ryan.green452@email.com,672-555-5616,6356 Meadow Ct,City,NV,31241,Individual,2023-09-23,Supporting
D0151,Thomas,Moore,thomas.moore54@email.com,856-555-8873,6181 Meadow Dr,City,AZ,77621,Individual,2024-10-20,Sportsman
D0152,Aaron,Hernandez,aaron.hernandez280@email.com,660-555-9410,7267 Mountain Way,City,UT,69130,Individual,2016-08-26,Supporting
D0153,Kenneth,Brown,kenneth.brown406@email.com,714-555-7126,6426 Mountain Ave,City,UT,39430,Individual,2017-08-23,Heritage
D0154,Rachel,Roberts,rachel.roberts666@email.com,543-555-3392,727 Creek Trl,City,MT,28191,Individual,2016-07-17,Heritage
D0155,Michelle,Smith,michelle.smith928@email.com,281-555-1311,3633 Aspen Ln,City,NM,81932,Individual,2017-11-14,Team Elk
D0156,Kevin,Davis,kevin.davis795@email.com,495-555-4893,2096 Elk Way,City,CA,65027,Individual,2018-05-18,Team Elk
D0157,William,Davis,william.davis857@email.com,711-555-9782,8543 Forest Way,City,OR,28818,Individual,2015-03-09,Team Elk
D0158,Steven,Taylor,steven.taylor585@email.com,626-555-4068,1502 Meadow Ave,City,WY,18870,Individual,2022-06-14,Supporting
D0159,Amanda,Torres,amanda.torres568@email.com,220-555-7397,7802 Elk Ct,City,CA,58929,Individual,2024-10-17,Team Elk
D0160,Amanda,Jones,amanda.jones354@email.com,446-555-2698,9633 Lake Ave,City,WY,27486,Individual,2023-08-27,Supporting
D0161,Nicole,Rivera,nicole.rivera180@email.com,997-555-8612,7940 River Ln,City,MT,27675,Individual,2022-10-19,Team Elk
D0162,George,Williams,george.williams301@email.com,406-555-1717,3368 Elk Ave,City,MT,50642,Individual,2023-11-15,Sportsman
D0163,Sandra,Wright,sandra.wright260@email.com,237-555-4131,5948 Aspen Rd,City,CO,95948,Individual,2018-03-17,Life
D0164,Paul,Young,paul.young911@email.com,609-555-8204,5654 Ridge Trl,City,ID,75211,Individual,2019-05-03,Supporting
D0165,Jessica,Garcia,jessica.garcia745@email.com,634-555-2293,9970 Aspen Ln,City,ID,81496,Individual,2019-10-30,Sportsman
D0166,Mark,Campbell,mark.campbell303@email.com,513-555-8305,7081 Ridge Trl,City,WY,56077,Individual,2021-10-04,Supporting
D0167,Steven,Baker,steven.baker446@email.com,481-555-1939,6755 Trail Ln,City,CO,14081,Individual,2015-11-04,Team Elk
D0168,Amanda,Allen,amanda.allen36@email.com,329-555-2101,6101 Trail Ct,City,MT,84349,Individual,2017-08-24,Team Elk
D0169,Brian,Clark,brian.clark381@email.com,654-555-2259,2355 Meadow Ave,City,MT,62171,Individual,2021-06-08,Supporting
D0170,Joseph,Johnson,joseph.johnson754@email.com,390-555-9176,6440 Meadow Dr,City,ID,44311,Individual,2020-10-21,Supporting
D0171,Linda,Baker,linda.baker293@email.com,910-555-9047,2109 Ridge Dr,City,NM,69250,Individual,2017-03-30,Team Elk
D0172,David,Mitchell,david.mitchell991@email.com,527-555-6692,1163 Meadow St,City,MT,49315,Individual,2022-12-16,Team Elk
D0173,Jason,Hall,jason.hall179@email.com,570-555-9335,2088 Valley Ln,City,UT,41029,Individual,2017-07-07,Team Elk
D0174,Ashley,Green,ashley.green378@email.com,678-555-3126,1512 Mountain St,City,AZ,62187,Individual,2021-11-11,Supporting
D0175,Margaret,Walker,margaret.walker788@email.com,619-555-2208,5294 River Dr,City,TX,68979,Individual,2016-05-28,Team Elk
D0176,Thomas,Flores,thomas.flores656@email.com,801-555-3981,2214 Canyon Rd,City,CO,26274,Individual,2023-08-11,Team Elk
D0177,Mary,Thompson,mary.thompson958@email.com,926-555-4694,8601 Creek Dr,City,CO,42847,Individual,2018-11-18,Supporting
D0178,Jessica,Rodriguez,jessica.rodriguez641@email.com,510-555-9740,8334 River Ln,City,WY,87569,Individual,2016-01-18,Heritage
D0179,Anthony,Baker,anthony.baker738@email.com,819-555-6531,9334 Elk Rd,City,CA,20646,Individual,2024-06-13,Supporting
D0180,Kimberly,Moore,kimberly.moore667@email.com,415-555-7825,596 Peak St,City,MT,94136,Individual,2021-12-06,Team Elk
D0181,Stephanie,Mitchell,stephanie.mitchell416@email.com,504-555-8430,1081 Ridge Trl,City,CA,64476,Individual,2015-10-26,Team Elk
D0182,Donna,Martinez,donna.martinez321@email.com,935-555-6231,5758 Canyon Ln,City,CO,58567,Individual,2023-03-27,Supporting
D0183,Barbara,King,barbara.king126@email.com,473-555-8366,2408 Mountain Rd,City,CO,48038,Individual,2017-10-12,Supporting
D0184,Kenneth,Taylor,kenneth.taylor986@email.com,363-555-6364,5223 Valley Ln,City,CA,75308,Individual,2021-06-24,Sportsman
D0185,Karen,Scott,karen.scott24@email.com,292-555-7442,7591 Valley Way,City,TX,86460,Individual,2020-09-01,Team Elk
D0186,Lisa,Nelson,lisa.nelson904@email.com,869-555-8710,8893 Elk Dr,City,ID,66482,Individual,2018-03-16,Supporting
D0187,Paul,Robinson,paul.robinson375@email.com,246-555-7563,9443 Meadow Way,City,MT,57516,Individual,2015-07-29,Supporting
D0188,Betty,Allen,betty.allen783@email.com,763-555-5582,2046 Ridge Dr,City,CO,61629,Individual,2024-04-03,Supporting
D0189,Ashley,Clark,ashley.clark774@email.com,347-555-4261,8441 Canyon Rd,City,ID,15938,Individual,2021-10-03,Life
D0190,Stephanie,Wright,stephanie.wright532@email.com,667-555-3440,8546 Ridge Ave,City,MT,90356,Individual,2021-10-19,Team Elk
D0191,Michelle,Lee,michelle.lee608@email.com,544-555-9311,8451 Meadow Trl,City,ID,83783,Individual,2024-04-15,Supporting
D0192,Paul,White,paul.white690@email.com,312-555-7824,5140 Pine Rd,City,WY,88238,Individual,2021-07-18,Sportsman
D0193,Amanda,Adams,amanda.adams592@email.com,433-555-1841,7971 Ridge Ct,City,CO,29369,Individual,2021-07-18,Life
D0194,Kimberly,Carter,kimberly.carter113@email.com,395-555-1310,5239 Canyon Ln,City,AZ,64127,Individual,2019-12-12,Supporting
D0195,Scott,Baker,scott.baker943@email.com,682-555-2020,2362 Meadow Way,City,WA,83516,Individual,2022-11-30,Supporting
D0196,Margaret,Lewis,margaret.lewis322@email.com,377-555-8531,5708 Meadow Ave,City,ID,98587,Individual,2020-12-23,Team Elk
D0197,Matthew,Carter,matthew.carter271@email.com,824-555-8932,4138 Creek St,City,NM,39473,Individual,2017-02-26,Team Elk
D0198,Scott,Martin,scott.martin722@email.com,412-555-9011,7961 Trail St,City,CA,47721,Individual,2018-07-22,Life
D0199,Andrew,Robinson,andrew.robinson839@email.com,553-555-3399,789 Creek Dr,City,MT,55398,Individual,2018-04-04,Team Elk
D0200,Tyler,Wright,tyler.wright220@email.com,406-555-9824,9308 Lake St,City,NV,27992,Individual,2018-01-15,Team Elk
D0201,Barbara,Taylor,barbara.taylor52@email.com,885-555-9700,3914 Elk Dr,City,MT,64172,Individual,2017-07-13,Sportsman
D0202,Ryan,Rodriguez,ryan.rodriguez6@email.com,763-555-3587,7893 Peak Way,City,ID,47649,Individual,2019-07-25,Team Elk
D0203,Scott,Garcia,scott.garcia668@email.com,787-555-4804,711 Ridge Ct,City,ID,33040,Individual,2020-12-31,Team Elk
D0204,Rachel,Robinson,rachel.robinson807@email.com,707-555-4052,4842 Elk Rd,City,CA,49110,Individual,2023-05-26,Supporting
D0205,Donald,Martin,donald.martin466@email.com,856-555-9901,8192 Ridge Trl,City,CO,45761,Individual,2020-11-17,Supporting
D0206,Mary,King,mary.king664@email.com,463-555-4050,5623 Pine St,City,WY,84420,Individual,2015-02-27,Supporting
D0207,Michelle,Hall,michelle.hall919@email.com,615-555-8007,5472 Mountain Ct,City,WA,97720,Individual,2020-10-11,Supporting
D0208,Nancy,Thompson,nancy.thompson959@email.com,454-555-1111,6384 Valley Trl,City,MT,44995,Individual,2017-12-04,Life
D0209,Brandon,Green,brandon.green12@email.com,467-555-6890,3971 Elk Dr,City,CA,71000,Individual,2022-10-08,Supporting
D0210,Betty,Roberts,betty.roberts789@email.com,518-555-2923,4933 Trail Way,City,ID,38721,Individual,2022-03-01,Supporting
